"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 18 09:53:56 CST 2022","Sun Dec 18 09:54:04 CST 2022","7769","test_case.UI","test_ui","","","","test001",""
"broken","Sun Dec 18 09:54:04 CST 2022","Sun Dec 18 09:54:07 CST 2022","3430","test_case.UI","test_ui","","","","test002",""
