"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 19 15:22:03 CST 2022","Mon Dec 19 15:22:12 CST 2022","9784","test_case.UI","test_ui","","","","test002",""
"passed","Mon Dec 19 15:21:48 CST 2022","Mon Dec 19 15:22:03 CST 2022","14392","test_case.UI","test_ui","","","","test001",""
