"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Dec 18 10:04:14 CST 2022","Sun Dec 18 10:04:50 CST 2022","36572","test_case.UI","test_ui","","","","test002",""
"passed","Sun Dec 18 10:04:03 CST 2022","Sun Dec 18 10:04:14 CST 2022","10539","test_case.UI","test_ui","","","","test001",""
