"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 19 09:40:12 CST 2022","Mon Dec 19 09:40:26 CST 2022","14142","test_case.UI","test_ui","","","","test001",""
"passed","Mon Dec 19 09:40:26 CST 2022","Mon Dec 19 09:40:36 CST 2022","9826","test_case.UI","test_ui","","","","test002",""
