"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Dec 18 09:55:42 CST 2022","Sun Dec 18 09:56:16 CST 2022","33460","test_case.UI","test_ui","","","","test002",""
"passed","Sun Dec 18 09:55:34 CST 2022","Sun Dec 18 09:55:42 CST 2022","8089","test_case.UI","test_ui","","","","test001",""
